lat	lon	title	description	icon	iconSize	iconOffset
45.37477	-75.65154	GCVR1W	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>GAG10 - NOTAM</a><br/>Difficulty: 3.0/5  Terrain: 2.0/5</div>	../icons/32x32/unknown.png	24,24	-12,-12
45.3788	-75.6432	GC16DRV	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Monkeys Take Over The World-Libio</a><br/>Difficulty: 1.0/5  Terrain: 1.0/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
45.37037	-75.65655	GCG7N1	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Canada's 25th:  A. Kim Campbell</a><br/>Difficulty: 2.0/5  Terrain: 1.5/5</div>	../icons/32x32/unknown.png	24,24	-12,-12
45.37798	-75.63831	GC15FCP	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Holly Pines</a><br/>Difficulty: 1.0/5  Terrain: 1.0/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
45.38128	-75.65785	GC1ZFCQ	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>GAG14- Smiling Friends- Ribbit</a><br/>Difficulty: 1.5/5  Terrain: 1.5/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
45.37225	-75.66016	GC1PND4	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Kids And Their Classes - Jim Durrell Arena</a><br/>Difficulty: 1.5/5  Terrain: 1.5/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
45.36575	-75.64107	GC1FF6J	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Forest Treasure</a><br/>Difficulty: 1.5/5  Terrain: 1.5/5</div>	../icons/32x32/multi.png	24,24	-12,-12
45.38883	-75.649	GC1B68F	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>The Friendly Muggle</a><br/>Difficulty: 2.5/5  Terrain: 1.0/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
45.38348	-75.66597	GC1YWKM	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>GAG14- Smiling Friends- Moo</a><br/>Difficulty: 1.5/5  Terrain: 1.5/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
45.3689	-75.66745	GC13PHD	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>O-Train at Walkley deer</a><br/>Difficulty: 1.5/5  Terrain: 1.5/5</div>	../icons/32x32/unknown.png	24,24	-12,-12
45.37702	-75.62797	GC1QF4X	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>OMAX - Oulu</a><br/>Difficulty: 1.5/5  Terrain: 2.0/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
45.3648	-75.66354	GC15J43	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>O-Train at the Forks of Sawmill Creek</a><br/>Difficulty: 1.5/5  Terrain: 2.5/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
45.3858	-75.63278	GC1R70G	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Under Sabre's Watch</a><br/>Difficulty: 1.5/5  Terrain: 2.0/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
45.38053	-75.6285	GCG6TF	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Kiss The Ring</a><br/>Difficulty: 2.5/5  Terrain: 2.0/5</div>	../icons/32x32/multi.png	24,24	-12,-12
45.36002	-75.64783	GC1K87C	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Kölner Dom</a><br/>Difficulty: 2.5/5  Terrain: 1.5/5</div>	../icons/32x32/unknown.png	24,24	-12,-12
45.36513	-75.63202	GC11Y1D	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>GAG10 - Convergence</a><br/>Difficulty: 2.5/5  Terrain: 2.5/5</div>	../icons/32x32/unknown.png	24,24	-12,-12
45.3628	-75.66296	GC10735	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Sawmill-Walkley Reservoir</a><br/>Difficulty: 1.0/5  Terrain: 2.0/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
45.35955	-75.6507	GC1M9M1	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>Route Mean Square</a><br/>Difficulty: 2.0/5  Terrain: 1.5/5</div>	../icons/32x32/unknown.png	24,24	-12,-12
45.3925	-75.65041	GC1HB0B	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>FRITE NITE II</a><br/>Difficulty: 1.0/5  Terrain: 1.5/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
45.37035	-75.67153	GCYWFC	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>GAG9 - The Big 'O'</a><br/>Difficulty: 1.0/5  Terrain: 3.0/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
45.36	-75.65718	GC1Q4C1	<div style='border: 1px dashed black; font: 10pt Arial'><a href="javascript:doSomething()>WICH TWIN?? (Tt-13)</a><br/>Difficulty: 1.5/5  Terrain: 1.5/5</div>	../icons/32x32/traditional.png	24,24	-12,-12
